Season,Player,Team,Tgts,Catchable,Rec,Drops,Yds,AirYards,YAC,YAContact,TDs,Brkn Tkls,First Downs
2018,Christian McCaffrey,Panthers,5,4,4,0,13,0,13,10,0,0,2
2018,Ryan Switzer,Steelers,5,4,4,0,0,-2,2,3,1,1,1
2018,Ty Montgomery,Ravens,5,4,4,0,25,9,16,7,0,0,1
2018,Darius Jennings,Titans,5,4,4,0,64,50,14,5,0,0,2
2018,Chester Rogers,Colts,5,4,3,0,48,37,11,1,0,0,2
2018,Jeff Heuerman,Broncos,5,4,3,1,51,37,14,2,0,0,2
2018,Kenyan Drake,Dolphins,5,6,3,2,81,30,15,53,1,2,3
2018,Tevin Coleman,Falcons,5,3,3,0,32,2,30,1,0,0,3
2018,Duke Johnson,Browns,5,4,3,0,39,17,22,6,0,0,2
2018,Danny Amendola,Dolphins,5,3,2,1,18,10,8,4,0,0,1
2018,Phillip Lindsay,Broncos,4,4,4,0,30,-10,40,7,0,0,1
2018,Richie James Jr.,49ers,4,3,3,0,37,7,30,5,0,1,1
2018,Vyncint Smith,Texans,4,3,3,0,55,54,1,1,1,0,2
2018,Joe Mixon,Bengals,4,4,3,0,17,8,9,5,0,0,1
2018,Kareem Hunt,Chiefs,4,3,3,0,27,12,15,8,0,0,1
2018,Dion Lewis,Titans,4,4,3,1,20,3,17,12,0,2,0
2018,Alfred Blue,Texans,4,3,3,0,25,19,6,0,0,0,1
2018,Eric Ebron,Colts,4,3,3,0,24,22,2,0,2,0,2
2018,Randall Cobb,Packers,4,3,3,0,42,39,3,0,1,0,1
2018,Kerryon Johnson,Lions,3,3,3,0,19,13,6,3,0,0,1
2018,Royce Freeman,Broncos,3,3,3,0,21,12,9,6,0,0,1
2018,Ito Smith,Falcons,3,3,3,0,24,4,20,5,0,0,1
2018,Bobo Wilson,Buccaneers,3,3,3,0,49,37,12,3,0,0,2
2018,Todd Gurley,Rams,3,3,3,0,73,28,45,1,1,0,3
2018,Damien Williams,Chiefs,3,3,3,0,11,-9,20,4,0,0,0
2018,Vernon Davis,Redskins,3,3,3,0,36,15,21,15,0,0,2
2018,Theo Riddick,Lions,3,3,3,0,8,-3,11,4,0,0,1
2018,Travis Benjamin,Chargers,3,2,2,0,59,49,10,1,1,0,2
2018,Isaiah Crowell,Jets,3,3,2,1,16,-9,25,5,0,0,1
2018,Melvin Gordon,Chargers,3,3,2,1,25,3,22,7,0,2,1
2018,Levine Toilolo,Lions,2,2,2,0,18,14,4,3,1,0,2
